"Sourcce","Epi week","Type","Subtype","Clade"
"Wastewater",15,"A","H3N2","3C.2a1b.2a.2a.3a.1"
"Wastewater",16,"A","H3N2","3C.2a1b.2a.2a.3a.1"
"Wastewater",29,"A","H3N2","3C.2a1b.2a.2a.3a.1"
"Wastewater",30,"A","H3N2","3C.2a1b.2a.2a.3a.1"
"Wastewater",31,"A","H3N2","3C.2a1b.2a.2a.3a.2"
"Wastewater",32,"A","H3N2","3C.2a1b.2a.2a.3a.3"
"Wastewater",33,"A","H3N2","3C.2a1b.2a.2a.3a.1"
"Wastewater",34,"A","H3N2","3C.2a1b.2a.2a.3a.3"
"Wastewater",35,"A","H3N2","3C.2a1b.2a.2a.3a.1"
"Wastewater",36,"A","H3N2","3C.2a1b.2a.2a.3a.1"
"Wastewater",37,"A","H3N2","3C.2a1b.2a.3a.1"
"Wastewater",38,"A","H3N2","3C.2a1b.2a.3a.1"
"Wastewater",39,"A","H3N2","3C.2a1b.2a.2a.3a.1"
"Wastewater",40,"A","H3N2","3C.2a1b.2a.2a.3a.1"
"Wastewater",41,"A","H3N2","3C.2a1b.2a.3a.1"
"Wastewater",42,"A","H3N2","3C.2a1b.2a.2a.3a.3"
"Wastewater",43,"A","H3N2","3C.2a1b.2a.3a.1"
"Wastewater",44,"A","H3N2","3C.2a1b.2a.3a.1"
"Wastewater",45,"negativo","negativo","negativo"
"Wastewater",46,"negativo","negativo","negativo"
"Wastewater",47,"negativo","negativo","negativo"
"Wastewater",48,"Pending","Pending","Pending"
"Wastewater",49,"Pending","Pending","Pending"
