provincia,local,ano,semana,casos,doenca
MAPUTO CIDADE,Comunidade Mavalene,2025,WK29,27,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK30,62,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK31,78,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK32,73,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK33,68,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK34,52,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK35,44,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK36,52,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK37,28,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK38,49,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK39,42,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK40,33,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK41,40,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK42,47,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK43,37,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK44,29,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK45,34,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK46,20,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK47,25,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK48,16,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK49,24,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK50,23,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK51,43,ira
MAPUTO CIDADE,Comunidade Mavalene,2025,WK52,12,ira
MAPUTO CIDADE,Comunidade Mavalene,2026,WK1,11,ira
MAPUTO CIDADE,Comunidade Mavalene,2026,WK2,35,ira
MAPUTO CIDADE,Comunidade Mavalene,2026,WK3,8,ira
MAPUTO CIDADE,Comunidade Mavalene,2026,WK4,28,ira
MAPUTO CIDADE,Comunidade Mavalene,2026,WK5,23,ira
MAPUTO CIDADE,Comunidade Mavalene,2026,WK6,34,ira
MAPUTO CIDADE,Comunidade Mavalene,2026,WK7,32,ira
MAPUTO CIDADE,Comunidade Mavalene,2026,WK8,24,ira
MAPUTO CIDADE,CS Mavalane,2026,WK1,263,ira
MAPUTO CIDADE,HG Mavalane,2026,WK1,0,ira
MAPUTO CIDADE,CS Mavalane,2026,WK2,294,ira
MAPUTO CIDADE,HG Mavalane,2026,WK2,17,ira
MAPUTO CIDADE,CS Mavalane,2025,WK26,115,ira
MAPUTO CIDADE,HG Mavalane,2025,WK26,12,ira
MAPUTO CIDADE,CS Mavalane,2025,WK27,259,ira
MAPUTO CIDADE,HG Mavalane,2025,WK27,12,ira
MAPUTO CIDADE,CS Mavalane,2025,WK28,291,ira
MAPUTO CIDADE,HG Mavalane,2025,WK28,12,ira
MAPUTO CIDADE,CS Mavalane,2025,WK29,205,ira
MAPUTO CIDADE,HG Mavalane,2025,WK29,13,ira
MAPUTO CIDADE,CS Mavalane,2026,WK3,233,ira
MAPUTO CIDADE,HG Mavalane,2026,WK3,21,ira
MAPUTO CIDADE,CS Mavalane,2025,WK30,201,ira
MAPUTO CIDADE,HG Mavalane,2025,WK30,4,ira
MAPUTO CIDADE,CS Mavalane,2025,WK31,152,ira
MAPUTO CIDADE,HG Mavalane,2025,WK31,10,ira
MAPUTO CIDADE,CS Mavalane,2025,WK32,168,ira
MAPUTO CIDADE,HG Mavalane,2025,WK32,9,ira
MAPUTO CIDADE,CS Mavalane,2025,WK33,185,ira
MAPUTO CIDADE,HG Mavalane,2025,WK33,14,ira
MAPUTO CIDADE,CS Mavalane,2025,WK34,204,ira
MAPUTO CIDADE,HG Mavalane,2025,WK34,12,ira
MAPUTO CIDADE,CS Mavalane,2025,WK35,176,ira
