setting,Ano_Semana_f,ano,Week_num,tests,positives,positivity,tipo
COMUNIDADE,2025_W07,2025,7,16,0,0,Influenza
COMUNIDADE,2025_W08,2025,8,10,0,0,Influenza
COMUNIDADE,2025_W11,2025,11,9,0,0,Influenza
COMUNIDADE,2025_W12,2025,12,65,2,3.076923076923077,Influenza
COMUNIDADE,2025_W16,2025,16,75,0,0,Influenza
COMUNIDADE,2025_W17,2025,17,16,0,0,Influenza
COMUNIDADE,2025_W20,2025,20,43,0,0,Influenza
COMUNIDADE,2025_W21,2025,21,42,2,4.761904761904762,Influenza
COMUNIDADE,2025_W24,2025,24,8,0,0,Influenza
COMUNIDADE,2025_W25,2025,25,64,5,7.8125,Influenza
COMUNIDADE,2025_W29,2025,29,114,15,13.157894736842104,Influenza
COMUNIDADE,2025_W30,2025,30,12,0,0,Influenza
COMUNIDADE,2025_W34,2025,34,5,0,0,Influenza
COMUNIDADE,2025_W38,2025,38,12,0,0,Influenza
COMUNIDADE,2025_W42,2025,42,4,0,0,Influenza
COMUNIDADE,2025_W43,2025,43,6,0,0,Influenza
HOSPITAL,2024_W46,2024,46,5,0,0,Influenza
HOSPITAL,2024_W47,2024,47,14,0,0,Influenza
HOSPITAL,2024_W51,2024,51,22,0,0,Influenza
HOSPITAL,2025_W03,2025,3,19,0,0,Influenza
HOSPITAL,2025_W04,2025,4,7,0,0,Influenza
HOSPITAL,2025_W07,2025,7,26,1,3.8461538461538463,Influenza
HOSPITAL,2025_W08,2025,8,53,0,0,Influenza
HOSPITAL,2025_W11,2025,11,25,0,0,Influenza
HOSPITAL,2025_W12,2025,12,77,4,5.194805194805195,Influenza
HOSPITAL,2025_W16,2025,16,58,9,15.517241379310345,Influenza
HOSPITAL,2025_W17,2025,17,9,0,0,Influenza
HOSPITAL,2025_W20,2025,20,53,3,5.660377358490566,Influenza
HOSPITAL,2025_W21,2025,21,53,13,24.528301886792452,Influenza
HOSPITAL,2025_W24,2025,24,22,0,0,Influenza
HOSPITAL,2025_W25,2025,25,114,11,9.649122807017545,Influenza
HOSPITAL,2025_W29,2025,29,202,20,9.900990099009901,Influenza
HOSPITAL,2025_W30,2025,30,50,2,4,Influenza
HOSPITAL,2025_W33,2025,33,61,5,8.19672131147541,Influenza
HOSPITAL,2025_W34,2025,34,126,9,7.142857142857143,Influenza
HOSPITAL,2025_W38,2025,38,167,8,4.790419161676646,Influenza
HOSPITAL,2025_W39,2025,39,11,1,9.090909090909092,Influenza
HOSPITAL,2025_W42,2025,42,136,23,16.91176470588235,Influenza
HOSPITAL,2025_W43,2025,43,44,13,29.545454545454547,Influenza
HOSPITAL,2025_W46,2025,46,43,15,34.883720930232556,Influenza
HOSPITAL,2025_W47,2025,47,137,58,42.33576642335766,Influenza
HOSPITAL,2025_W51,2025,51,195,66,33.84615384615385,Influenza
HOSPITAL,2025_W52,2025,52,6,5,83.33333333333333,Influenza
HOSPITAL,2026_W03,2026,3,119,16,13.445378151260504,Influenza
HOSPITAL,2026_W04,2026,4,32,1,3.125,Influenza
HOSPITAL,2026_W07,2026,7,39,3,7.6923076923076925,Influenza
HOSPITAL,2026_W08,2026,8,110,11,10,Influenza
HOSPITAL,2026_W11,2026,11,39,1,2.5641025641025643,Influenza
HOSPITAL,2026_W12,2026,12,67,6,8.955223880597014,Influenza
HOSPITAL,2026_W13,2026,13,46,1,2.1739130434782608,Influenza
HOSPITAL,2026_W14,2026,14,56,3,5.357142857142857,Influenza
HOSPITAL,2026_W15,2026,15,52,6,11.538461538461538,Influenza
HOSPITAL,2026_W16,2026,16,30,2,6.666666666666667,Influenza
HOSPITAL,2026_W17,2026,17,35,7,20,Influenza
HOSPITAL,2026_W18,2026,18,16,8,50,Influenza
HOSPITAL,2026_W20,2026,20,35,8,22.857142857142858,Influenza
HOSPITAL,2026_W21,2026,21,44,13,29.545454545454547,Influenza
HOSPITAL,2026_W22,2026,22,4,2,50,Influenza
AGUAS RESIDUAIS,2025_W01,2025,1,7,0,0,Influenza
AGUAS RESIDUAIS,2025_W12,2025,12,8,0,0,Influenza
AGUAS RESIDUAIS,2025_W13,2025,13,8,0,0,Influenza
AGUAS RESIDUAIS,2025_W14,2025,14,9,0,0,Influenza
AGUAS RESIDUAIS,2025_W15,2025,15,7,7,100,Influenza
AGUAS RESIDUAIS,2025_W16,2025,16,9,9,100,Influenza
AGUAS RESIDUAIS,2025_W17,2025,17,8,0,0,Influenza
AGUAS RESIDUAIS,2025_W18,2025,18,13,0,0,Influenza
AGUAS RESIDUAIS,2025_W19,2025,19,10,0,0,Influenza
AGUAS RESIDUAIS,2025_W20,2025,20,9,0,0,Influenza
AGUAS RESIDUAIS,2025_W21,2025,21,7,0,0,Influenza
AGUAS RESIDUAIS,2025_W22,2025,22,9,0,0,Influenza
AGUAS RESIDUAIS,2025_W23,2025,23,9,0,0,Influenza
AGUAS RESIDUAIS,2025_W24,2025,24,18,0,0,Influenza
AGUAS RESIDUAIS,2025_W25,2025,25,16,0,0,Influenza
AGUAS RESIDUAIS,2025_W26,2025,26,18,0,0,Influenza
AGUAS RESIDUAIS,2025_W27,2025,27,18,0,0,Influenza
AGUAS RESIDUAIS,2025_W28,2025,28,15,0,0,Influenza
AGUAS RESIDUAIS,2025_W29,2025,29,9,3,100,Influenza
AGUAS RESIDUAIS,2025_W30,2025,30,9,1,100,Influenza
AGUAS RESIDUAIS,2025_W31,2025,31,9,0,0,Influenza
AGUAS RESIDUAIS,2025_W32,2025,32,9,0,0,Influenza
AGUAS RESIDUAIS,2025_W34,2025,34,9,0,0,Influenza
AGUAS RESIDUAIS,2025_W35,2025,35,14,3,100,Influenza
AGUAS RESIDUAIS,2025_W36,2025,36,15,1,100,Influenza
AGUAS RESIDUAIS,2025_W37,2025,37,13,2,100,Influenza
AGUAS RESIDUAIS,2025_W38,2025,38,12,2,100,Influenza
AGUAS RESIDUAIS,2025_W39,2025,39,13,3,100,Influenza
AGUAS RESIDUAIS,2025_W40,2025,40,13,3,100,Influenza
AGUAS RESIDUAIS,2025_W42,2025,42,10,0,0,Influenza
AGUAS RESIDUAIS,2025_W43,2025,43,12,2,100,Influenza
AGUAS RESIDUAIS,2025_W44,2025,44,13,0,0,Influenza
AGUAS RESIDUAIS,2025_W45,2025,45,13,0,0,Influenza
AGUAS RESIDUAIS,2025_W46,2025,46,11,1,100,Influenza
AGUAS RESIDUAIS,2025_W47,2025,47,12,0,0,Influenza
AGUAS RESIDUAIS,2025_W48,2025,48,4,1,100,Influenza
AGUAS RESIDUAIS,2025_W49,2025,49,13,3,100,Influenza
AGUAS RESIDUAIS,2025_W50,2025,50,11,0,0,Influenza
AGUAS RESIDUAIS,2025_W51,2025,51,10,3,100,Influenza
AGUAS RESIDUAIS,2025_W52,2025,52,11,0,0,Influenza
AGUAS RESIDUAIS,2026_W02,2026,2,23,0,0,Influenza
AGUAS RESIDUAIS,2026_W03,2026,3,25,2,100,Influenza
AGUAS RESIDUAIS,2026_W04,2026,4,25,10,100,Influenza
AGUAS RESIDUAIS,2026_W05,2026,5,25,0,0,Influenza
AGUAS RESIDUAIS,2026_W06,2026,6,14,0,0,Influenza
AGUAS RESIDUAIS,2026_W07,2026,7,13,0,0,Influenza
AGUAS RESIDUAIS,2026_W08,2026,8,14,3,100,Influenza
AGUAS RESIDUAIS,2026_W09,2026,9,13,1,100,Influenza
AGUAS RESIDUAIS,2026_W10,2026,10,13,0,0,Influenza
AGUAS RESIDUAIS,2026_W12,2026,12,14,0,0,Influenza
AGUAS RESIDUAIS,2026_W13,2026,13,11,0,0,Influenza
COMUNIDADE,2025_W07,2025,7,16,0,0,SARS-CoV-2
COMUNIDADE,2025_W08,2025,8,10,0,0,SARS-CoV-2
COMUNIDADE,2025_W11,2025,11,9,0,0,SARS-CoV-2
COMUNIDADE,2025_W12,2025,12,65,1,1.5384615384615385,SARS-CoV-2
COMUNIDADE,2025_W16,2025,16,75,0,0,SARS-CoV-2
COMUNIDADE,2025_W17,2025,17,16,0,0,SARS-CoV-2
COMUNIDADE,2025_W20,2025,20,43,0,0,SARS-CoV-2
COMUNIDADE,2025_W21,2025,21,42,1,2.380952380952381,SARS-CoV-2
COMUNIDADE,2025_W24,2025,24,8,0,0,SARS-CoV-2
COMUNIDADE,2025_W25,2025,25,64,0,0,SARS-CoV-2
COMUNIDADE,2025_W29,2025,29,114,0,0,SARS-CoV-2
COMUNIDADE,2025_W30,2025,30,12,0,0,SARS-CoV-2
COMUNIDADE,2025_W34,2025,34,5,0,0,SARS-CoV-2
COMUNIDADE,2025_W38,2025,38,12,0,0,SARS-CoV-2
COMUNIDADE,2025_W42,2025,42,4,0,0,SARS-CoV-2
COMUNIDADE,2025_W43,2025,43,6,0,0,SARS-CoV-2
HOSPITAL,2024_W46,2024,46,5,1,20,SARS-CoV-2
HOSPITAL,2024_W47,2024,47,14,3,21.428571428571427,SARS-CoV-2
HOSPITAL,2024_W51,2024,51,22,11,50,SARS-CoV-2
HOSPITAL,2025_W03,2025,3,19,1,5.2631578947368425,SARS-CoV-2
HOSPITAL,2025_W04,2025,4,7,0,0,SARS-CoV-2
HOSPITAL,2025_W07,2025,7,26,0,0,SARS-CoV-2
HOSPITAL,2025_W08,2025,8,53,1,1.8867924528301887,SARS-CoV-2
HOSPITAL,2025_W11,2025,11,25,0,0,SARS-CoV-2
HOSPITAL,2025_W12,2025,12,77,1,1.2987012987012987,SARS-CoV-2
HOSPITAL,2025_W16,2025,16,58,0,0,SARS-CoV-2
HOSPITAL,2025_W17,2025,17,9,0,0,SARS-CoV-2
HOSPITAL,2025_W20,2025,20,53,0,0,SARS-CoV-2
HOSPITAL,2025_W21,2025,21,53,1,1.8867924528301887,SARS-CoV-2
HOSPITAL,2025_W24,2025,24,22,0,0,SARS-CoV-2
HOSPITAL,2025_W25,2025,25,114,1,0.8771929824561403,SARS-CoV-2
HOSPITAL,2025_W29,2025,29,202,0,0,SARS-CoV-2
HOSPITAL,2025_W30,2025,30,50,0,0,SARS-CoV-2
HOSPITAL,2025_W33,2025,33,61,0,0,SARS-CoV-2
HOSPITAL,2025_W34,2025,34,126,0,0,SARS-CoV-2
HOSPITAL,2025_W38,2025,38,167,1,0.5988023952095808,SARS-CoV-2
HOSPITAL,2025_W39,2025,39,11,0,0,SARS-CoV-2
HOSPITAL,2025_W42,2025,42,136,7,5.147058823529412,SARS-CoV-2
HOSPITAL,2025_W43,2025,43,44,1,2.272727272727273,SARS-CoV-2
HOSPITAL,2025_W46,2025,46,43,3,6.976744186046512,SARS-CoV-2
HOSPITAL,2025_W47,2025,47,137,9,6.569343065693431,SARS-CoV-2
HOSPITAL,2025_W51,2025,51,195,2,1.0256410256410255,SARS-CoV-2
HOSPITAL,2025_W52,2025,52,6,0,0,SARS-CoV-2
HOSPITAL,2026_W03,2026,3,119,1,0.8403361344537815,SARS-CoV-2
HOSPITAL,2026_W04,2026,4,32,0,0,SARS-CoV-2
HOSPITAL,2026_W08,2026,8,1,0,0,SARS-CoV-2
HOSPITAL,2026_W12,2026,12,4,0,0,SARS-CoV-2
HOSPITAL,2026_W13,2026,13,3,0,0,SARS-CoV-2
HOSPITAL,2026_W14,2026,14,56,1,1.7857142857142858,SARS-CoV-2
HOSPITAL,2026_W15,2026,15,52,0,0,SARS-CoV-2
HOSPITAL,2026_W16,2026,16,30,0,0,SARS-CoV-2
HOSPITAL,2026_W17,2026,17,35,0,0,SARS-CoV-2
HOSPITAL,2026_W18,2026,18,16,0,0,SARS-CoV-2
HOSPITAL,2026_W20,2026,20,35,0,0,SARS-CoV-2
HOSPITAL,2026_W21,2026,21,44,0,0,SARS-CoV-2
HOSPITAL,2026_W22,2026,22,4,0,0,SARS-CoV-2
AGUAS RESIDUAIS,2025_W01,2025,1,7,6,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W12,2025,12,8,0,0,SARS-CoV-2
AGUAS RESIDUAIS,2025_W13,2025,13,7,0,0,SARS-CoV-2
AGUAS RESIDUAIS,2025_W14,2025,14,9,0,0,SARS-CoV-2
AGUAS RESIDUAIS,2025_W15,2025,15,7,0,0,SARS-CoV-2
AGUAS RESIDUAIS,2025_W16,2025,16,9,2,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W17,2025,17,8,8,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W18,2025,18,13,13,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W19,2025,19,10,7,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W20,2025,20,9,6,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W21,2025,21,7,1,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W22,2025,22,9,4,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W23,2025,23,9,1,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W24,2025,24,18,6,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W25,2025,25,16,0,0,SARS-CoV-2
AGUAS RESIDUAIS,2025_W26,2025,26,18,0,0,SARS-CoV-2
AGUAS RESIDUAIS,2025_W27,2025,27,18,2,100,SARS-CoV-2
AGUAS RESIDUAIS,2025_W28,2025,28,15,0,0,SARS-CoV-2
AGUAS RESIDUAIS,2025_W29,2025,29,9,8,100,SARS-CoV-2
