Site,Epi.week,Year,WHO.Variant,Clade..Pango.lineage.,Proportion
IDS0100004,47,2024,Omicron,Omicorn 24A (JN.1.40),
IDS0100014,48,2024,Omicron,Omicorn 24A (JN.1.49.1),
IDS0100020,48,2024,Omicron,Omicorn 24A (JN.1.40),
IDS0100021,49,2024,Omicron,Omicorn 24H (LF.7),
IDS0100031,49,2024,Omicron,Omicorn 24A (JN.1.16.3),
IDS0100033,49,2024,Omicron,Omicorn 24A (JN.1.40),
IDS0100034,49,2024,Omicron,Omicorn 24H (LF.7),
IDS0100092,51,2024,Omicron,Omicorn 24A (JN.1),
IDS0100093,51,2024,Omicron,Omicorn 24A (JN.1),
IDS0100094,51,2024,Omicron,Omicorn 24A (JN.1),
IDS0100062,51,2024,Omicron,Omicorn 24H (LF.7),
IDS0100064,51,2024,Omicron,Omicorn 24A (JN.1),
IDS0100066,51,2024,Omicron,Omicorn 24A (JN.1),
IDS0100039,51,2024,Omicron,Omicorn 24A (JN.1),
IDS0100097,2,2025,Omicron,Omicorn 24H (LF.7),
IDS0100205,10,2025,Omicron,Omicorn 24B (JN.1.11.1),
IDSC100012,12,2025,Omicron,Omicorn 21M (BA.3),100
Wastewater,16,2025,,Omicron 24E (KP.3.1); Omicron 25A (LP.8.1); Recombinants; Omicron 24A (JN.1) ,"""70, 10; 10; 10"""
Wastewater,17,2025,,Omicron 24A (BA.2.86); Omicron 24A (JN.1.18); Omicron 24A (JN.1.7); Omicron 24A (KP.2); Omicron 24C (KP.3); Omicron 24E (KP.3.1.1); Omicron 24E (KP.3.1); Omicron 24A (LB.1); Omicron 24H (LF.7.3.6); Omicron 25A (L.P.8.1); Omicron 25A (LP.8.1); Omicron 24F (XEC),60; 3; 4; 2; 5; 1; 1; 3; 4; 4; 4; 4; 5
Wastewater,18,2025,,Omicron 24A (BA.2.86); Omicron 24A (JN.1.7); Omicron 24A (KP.2); Omicron 24C (KP.3); Omicron 24E (KP.3.1.1); Omicron 24E (KP.3.1); Omicron 24H (LF.7.3.6),57; 10; 10; 10; 10; 2; 1
Wastewater,19,2025,,Omicron 24A (JN.1.18); Omicron 24A (LB.1); Omicron 24H (LF.7.3.6); Omicron 25A (LP.8.1); Omicron 24A (JN.1); Omicron 24A (PM.2); Omicron 24A (L.B.1),3; 16; 20; 30; 5; 6; 20
Wastewater,20,2025,,Omicron 24A (JN.1.18); Omicron 24A (PM.2); Omicron 24A (L.B.1); Omicron 20A (KS.1.3),20; 4; 60; 16
Wastewater,21,2025,,Omicron 24A (BA.2.86); Omicron 24C (KP.3); Omicron 24E (KP.3.1.1); Omicron 24E (KP.3.1.1); Omicron XFC.1.1; Omicron 20A (KS.1.3),60; 30; 10
Wastewater,22,2025,,Omicron 24A (BA.2.86); Omicron 24A (L.B.1); Omicron XFC.1.1; Omicron 20A (KS.1.3),10; 70; 10; 10
Wastewater,23,2025,,Omicron 24A (BA.2.86); Epsilon; Lambda; Kapa; Zeta; Eta; Gamma,40; 10; 10; 10; 10; 10; 10
Wastewater,24,2025,,Omicron 24A (BA.2.86); Omicron 24C (KP.3); Omicron 24E (KP.3.1.1); Omicron 24E (KP.3.1.1); Omicron XFC.1.1; Omicron 20A (KS.1.3),60; 30; 10
Wastewater,25,2025,,Not detected,100
Wastewater,26,2025,,Not detected,100
Wastewater,27,2025,,Omicron 24A (BA.2.86); Omicron 24A (JN.1.18); Omicron 21J (BF.38.3),80; 10; 10
Wastewater,28,2025,,Not detected,100
Wastewater,29,2025,,Omicron 21L (BA.2.2); Omicron 21L (BA.2.1); 20A (B.1.36.27); 20A (B.1.409); Omicron 20A (Q.2); Omicron 20B (AZ.4),30; 30; 10; 10; 10; 10
Wastewater,30,2025,,Omicron 21L (BA.2.2); Omicron 21L (BA.2.1),50; 50
Wastewater,31,2025,,Omicron 24A (BA.2.86);Omicron BA.2; C.30,50; 25; 25
Wastewater,32,2025,,Omicron 24A (BA.2.86); Omicron BA.2; Omicron (BA.2.3),50; 25; 25
Wastewater,33,2025,,Omicron 24A (BA.2.86); Omicron BA.2,50; 50
Wastewater,34,2025,,Omicron 24A (BA.2.86); Omicron BA.2,40; 10; 10; 10; 10; 10; 10
Wastewater,35,2025,,Omicron 24A (BA.2.86); Omicron 24A (JN.1.18); Omicron 21J (BF.38.3),80; 10; 10
Wastewater,36,2025,,Omicron 24A (BA.2.86); Epsilon; Lambda; Kapa; Zeta; Eta; Gamma,40; 10; 10; 10; 10; 10; 10
