orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,MZ CE - Diagnóstico - Infecção Resp. Aguda,MZ CE - Diagnóstico - DNT Asma Bronquial,INTERNAMENTO - Pneumonia ALTAS,INTERNAMENTOS HOSPITAIS - Pneumonia ALTAS
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202501,Janeiro 2025,202501,,470,28,,25
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202502,Fevereiro 2025,202502,,651,43,,57
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202503,Março 2025,202503,,92,41,,61
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202504,Abril 2025,202504,,177,89,,50
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202505,Maio 2025,202505,,423,59,,42
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202506,Junho 2025,202506,,339,33,,36
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202507,Julho 2025,202507,,251,65,,17
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202508,Agosto 2025,202508,,267,28,,28
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202509,Setembro 2025,202509,,293,43,,35
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202510,Outubro 2025,202510,,294,60,,26
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202511,Novembro 2025,202511,,218,59,,33
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202512,Dezembro 2025,202512,,279,64,,37
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202601,Janeiro 2026,202601,,218,59,,37
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202602,Fevereiro 2026,202602,,190,58,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,xxGqiSW0LFw,HG Mavalane,1110401,,202603,Março 2026,202603,,,,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMUBUKWANA,CS Zimpeto,tgXuH2BLLib,CS Zimpeto,1110515,,202501,Janeiro 2025,202501,,,,,
