provincia,doenca,ano,Semana,Seguranca1,Alerta,Epidemia
Maputo Cidade,Diarreia,2025,40,382.75,575,785.25
Maputo Cidade,Diarreia,2025,41,509.5,585.5,776.75
Maputo Cidade,Diarreia,2025,42,400.5,523,758.5
Maputo Cidade,Diarreia,2025,43,351,474,778.75
Maputo Cidade,Diarreia,2025,44,407,452,819.25
Maputo Cidade,Diarreia,2025,45,381.75,450,718
Maputo Cidade,Diarreia,2025,46,470.75,505,714.5
Maputo Cidade,Diarreia,2025,47,465.5,541,731.75
Maputo Cidade,Diarreia,2025,48,434.25,501,702
Maputo Cidade,Diarreia,2025,49,407.25,575,697.5
Maputo Cidade,Diarreia,2025,50,451,575.5,637
Maputo Cidade,Diarreia,2025,51,371,559.5,666
Maputo Cidade,Diarreia,2025,52,406.25,512.5,860.75
Maputo Cidade,Diarreia,2026,1,643.5,670,770.5
Maputo Cidade,Diarreia,2026,2,557.5,589,748.5
Maputo Cidade,Diarreia,2026,3,590,613,712
Maputo Cidade,Diarreia,2026,4,541.5,646,734.5
Maputo Cidade,Diarreia,2026,5,487.5,632,723.5
Maputo Cidade,Diarreia,2026,6,519.5,597,677.5
Maputo Cidade,Diarreia,2026,7,440,639,726
Maputo Cidade,Diarreia,2026,8,571.5,616,758
Maputo Cidade,Diarreia,2026,9,494,514,691
Maputo Cidade,Diarreia,2026,10,410,546,697.5
Maputo Cidade,Diarreia,2026,11,520,607,696
Maputo Cidade,Diarreia,2026,12,444,656,740
Maputo Cidade,Diarreia,2026,13,418.5,513,535
Maputo Cidade,Diarreia,2026,14,427.5,480,556
Maputo Cidade,Diarreia,2026,15,444.5,500,632
Maputo Cidade,Diarreia,2026,16,353,489,517
Maputo Cidade,Diarreia,2026,17,306.5,459,589
Maputo Cidade,Diarreia,2026,18,412.5,504,528.5
Maputo Cidade,Diarreia,2026,19,376,479,541.5
Maputo Cidade,Diarreia,2026,20,317.5,469,521.5
Maputo Cidade,Diarreia,2026,21,325.5,437,582
Maputo Cidade,Diarreia,2026,22,311,468,614.5
Maputo Cidade,Diarreia,2026,23,368,472,592.5
Maputo Cidade,Diarreia,2026,24,336.5,522,560.5
Maputo Cidade,Diarreia,2026,25,383,442,557.5
Maputo Cidade,Diarreia,2026,26,331,481,558
Maputo Cidade,Diarreia,2026,27,431,532,645
Maputo Cidade,Diarreia,2026,28,362.5,516,650
Maputo Cidade,Diarreia,2026,29,387.5,469,617.5
Maputo Cidade,Diarreia,2026,30,343.5,520,659
Maputo Cidade,Diarreia,2026,31,484.5,516,640
Maputo Cidade,Diarreia,2026,32,391.5,485,624
Maputo Cidade,Diarreia,2026,33,479,567,665
Maputo Cidade,Diarreia,2026,34,319,333,667.5
Maputo Cidade,Diarreia,2026,35,360,563,697.5
Maputo Cidade,Diarreia,2026,36,379.5,562,697
Maputo Cidade,Diarreia,2026,37,373.5,510,635.5
Maputo Cidade,Diarreia,2026,38,384,615,671
Maputo Cidade,Diarreia,2026,39,391,426,549.5
Maputo Cidade,Diarreia,2026,40,368.5,510,575
Maputo Cidade,Diarreia,2026,41,474.5,543,585.5
Maputo Cidade,Diarreia,2026,42,395,482,553.5
Maputo Cidade,Diarreia,2026,43,347,404,555.5
Maputo Cidade,Diarreia,2026,44,395,436,474.5
Maputo Cidade,Diarreia,2026,45,345.5,434,524
Maputo Cidade,Diarreia,2026,46,461.5,490,551
Maputo Cidade,Diarreia,2026,47,442,474,541
Maputo Cidade,Diarreia,2026,48,430.5,490,520.5
Maputo Cidade,Diarreia,2026,49,388.5,508,614.5
Maputo Cidade,Diarreia,2026,50,443,569,589
Maputo Cidade,Diarreia,2026,51,366,540,580
Maputo Cidade,Diarreia,2026,52,354.5,495,544.5
Maputo Cidade,MALARIA,2025,40,152.5,173,305.75
Maputo Cidade,MALARIA,2025,41,131.5,192.5,327.75
Maputo Cidade,MALARIA,2025,42,139.75,205,289
Maputo Cidade,MALARIA,2025,43,139.25,241.5,293.75
Maputo Cidade,MALARIA,2025,44,176.75,232,306.25
Maputo Cidade,MALARIA,2025,45,183.75,207,314.5
Maputo Cidade,MALARIA,2025,46,229.25,268,348.75
Maputo Cidade,MALARIA,2025,47,202.75,236,294.5
Maputo Cidade,MALARIA,2025,48,246.5,291,359.75
Maputo Cidade,MALARIA,2025,49,241,332.5,360.75
Maputo Cidade,MALARIA,2025,50,257.5,284,458
Maputo Cidade,MALARIA,2025,51,193.5,283,418.75
Maputo Cidade,MALARIA,2025,52,224.75,267.5,350.25
Maputo Cidade,MALARIA,2026,1,634,675,821
Maputo Cidade,MALARIA,2026,2,377.5,434,460
Maputo Cidade,MALARIA,2026,3,393.5,447,548.5
Maputo Cidade,MALARIA,2026,4,363,444,518.5
Maputo Cidade,MALARIA,2026,5,349,407,480.5
Maputo Cidade,MALARIA,2026,6,278.5,318,498
Maputo Cidade,MALARIA,2026,7,269,329,481
Maputo Cidade,MALARIA,2026,8,319.5,356,467.5
Maputo Cidade,MALARIA,2026,9,236,271,398
Maputo Cidade,MALARIA,2026,10,252,270,375
Maputo Cidade,MALARIA,2026,11,240,259,427.5
Maputo Cidade,MALARIA,2026,12,229,249,391.5
Maputo Cidade,MALARIA,2026,13,192,270,369.5
Maputo Cidade,MALARIA,2026,14,186,208,319
Maputo Cidade,MALARIA,2026,15,202,220,310.5
Maputo Cidade,MALARIA,2026,16,210.5,240,289
Maputo Cidade,MALARIA,2026,17,222.5,243,298.5
Maputo Cidade,MALARIA,2026,18,212.5,239,334
Maputo Cidade,MALARIA,2026,19,201,264,437
Maputo Cidade,MALARIA,2026,20,232,270,425
Maputo Cidade,MALARIA,2026,21,228.5,260,408.5
Maputo Cidade,MALARIA,2026,22,224.5,245,373.5
Maputo Cidade,MALARIA,2026,23,206,222,355.5
Maputo Cidade,MALARIA,2026,24,198,230,300.5
Maputo Cidade,MALARIA,2026,25,199,208,277.5
Maputo Cidade,MALARIA,2026,26,180.5,208,265.5
Maputo Cidade,MALARIA,2026,27,165,204,295.5
Maputo Cidade,MALARIA,2026,28,170,210,255
Maputo Cidade,MALARIA,2026,29,144,161,263.5
Maputo Cidade,MALARIA,2026,30,137,219,263
Maputo Cidade,MALARIA,2026,31,161,187,250.5
Maputo Cidade,MALARIA,2026,32,164,202,227.5
Maputo Cidade,MALARIA,2026,33,146,213,230.5
Maputo Cidade,MALARIA,2026,34,124,191,231.5
Maputo Cidade,MALARIA,2026,35,134.5,204,243.5
Maputo Cidade,MALARIA,2026,36,170.5,229,263.5
Maputo Cidade,MALARIA,2026,37,148.5,180,265.5
Maputo Cidade,MALARIA,2026,38,148.5,171,198
Maputo Cidade,MALARIA,2026,39,135,152,218
Maputo Cidade,MALARIA,2026,40,152,166,205
Maputo Cidade,MALARIA,2026,41,130,191,200
Maputo Cidade,MALARIA,2026,42,135.5,166,222
Maputo Cidade,MALARIA,2026,43,137.5,199,258
Maputo Cidade,MALARIA,2026,44,171.5,196,256.5
Maputo Cidade,MALARIA,2026,45,177.5,202,246.5
Maputo Cidade,MALARIA,2026,46,228.5,245,278.5
Maputo Cidade,MALARIA,2026,47,186.5,233,246.5
Maputo Cidade,MALARIA,2026,48,244,251,330
Maputo Cidade,MALARIA,2026,49,240,330,336
Maputo Cidade,MALARIA,2026,50,246.75,281.5,392
Maputo Cidade,MALARIA,2026,51,191,252,376.5
Maputo Cidade,MALARIA,2026,52,221.5,256,330
