variable,type,n_missing,pct_missing
dados_demograficos_pais,logical,250,1
dados_demograficos_ssim_meses,integer,250,1
nota111_tipo_hemoragia,logical,250,1
influenza_nota122,logical,250,1
colera_purificador_agua_usado_other,logical,250,1
dados_demograficos_boane,logical,250,1
dados_demograficos_magude,logical,250,1
dados_demograficos_manhica,logical,250,1
dados_demograficos_matutuine,logical,250,1
dados_demograficos_moamba,logical,250,1
dados_demograficos_namaacha,logical,250,1
whota_ph,logical,250,1
whota_turbidez,logical,250,1
whota_conamon,logical,250,1
whota_conortf,logical,250,1
whota_oxigenio,logical,250,1
whota_nota12,logical,250,1
whota_outros_other,logical,250,1
submission_date,character,250,1
detalhes_time_stamp,character,250,1
detalhes_data_informe,"c(""POSIXct"", ""POSIXt"")",250,1
detalhes_modulo,character,250,1
local_colheita_tipo_local_colheita,character,250,1
local_colheita_provincia_colheita_y,character,250,1
local_colheita_dist_colheita,character,250,1
local_colheita_us_colheita,character,250,1
local_colheita_outro_local_colheita,character,250,1
local_colheita_local,character,250,1
local_colheita_outro_lab,logical,250,1
dados_testagem_codigo_do_dise,character,250,1
dados_testagem_proposito,character,250,1
dados_testagem_outro_proposito,character,250,1
dados_testagem_amostra,character,250,1
dados_testagem_data_recepcao,character,250,1
dados_testagem_data_analise,character,250,1
dados_testagem_data_validacao,character,250,1
dados_testagem_data_resultado,character,250,1
dados_testagem_metodo_de_testagem,character,250,1
dados_testagem_outro_metodo_de_testagem,character,250,1
testes_resultados_testes_realizados,character,250,1
testes_resultados_outro_teste_realizado,logical,250,1
testes_resultados_resultado_de_cultura,character,250,1
testes_resultados_outro_resultado_de_cultura,character,250,1
testes_resultados_flora_normal_cultura,logical,250,1
testes_resultados_outro_flora_normal_cultura,logical,250,1
testes_resultados_resultado_de_sorologia,logical,250,1
testes_resultados_outro_resultado_de_sorologia,logical,250,1
testes_resultados_microrganismo,logical,250,1
testes_resultados_outro_microrganismo,logical,250,1
testes_resultados_especifique_microrganismo,logical,250,1
testes_resultados_flora_normal_microrganismo,logical,250,1
testes_resultados_outro_flora_normal_microrganismo,logical,250,1
resultado_tsa_resultado_de_tsa,logical,250,1
resultado_tsa_outro_resultado_de_tsa,logical,250,1
resultado_tsa_especifique_o_resultado,logical,250,1
resultado_tsa_ampicilina,logical,250,1
